Stations,1KA102,1KA104,1KA112,1KA107,1KA113,1KA100,1KA103,1KA108,1KA111,1KA106,1KA115,1KA110,1KA109,1KA114,1KA105,9535005,9535006,9536004,9536017,9635012,9636013,9636020,9637045,9637047,9637048,9637052,9637043,9737024,9737026,9738016,9639030,9635002,9637033,9735014,9638028,9737030,9637002,9839005,9836002,9637077,9539016
LON,34.3833,35.6994,36,34.8186,34.7661,35.8986,34.57755556,35.280735,34.9,34.16667,35.6896,34.01667,33.9719,35.95,35.73,35.92,35.75,36.13,36.0849,35.7532,36.327,36,37.63,37.57,37.63,37.6604,37.65,37.6881873,37.8,38.11447,39.2,35.766667,37.033333,35.766667,38.966667,37,37,39.516667,36.716667,37.65,39.066667
MONTHLY/LAT,-8.7667,-7.7725,-7.1,-8.1994,-9.3453,-8.11,-8.896611111,-8.310224,-7.75,-8.83333,-8.23047,-8.93333,-8.9436,-6.66667,-7.17,-5.88,-5.88,-5.78,-5.716,-6.18782,-6.21775,-5.59,-6.95,-6.98,-6.92,-6.18755,-6.133333,-7.0727211,-7.02,-7.27967,-6.866667,-6.166667,-6.166667,-7.633333,-6.833333,-7.666667,-6.833333,-8.916667,-8.683333,-6.833333,-5.083333
198101,133.3,164.3,121.9,-99,-99,-99,-99,-99,26.2,100.8,-99,174,-99,-99,-99,-99,-99,40,11.1,49.5,28,-99,113.9,77.5,74.6,26.8,102.5,345.2,187,125.8,40.5,26.4,89.5,128.3,73.6,209.9,40.8,151.6,245.1,42.8,39.2
198102,106,75.1,159.1,-99,-99,-99,-99,-99,-99,145,-99,217,-99,-99,-99,-99,-99,93.8,109.5,135.9,104.7,-99,82.5,98.5,91.2,66.8,97.5,331.3,123.2,124.7,8.3,108.7,199.6,85.8,27.3,145.2,85.9,17.2,324,39.7,0.4
198103,209.1,145,59.3,-99,-99,-99,-99,-99,-99,207,-99,270,-99,-99,-99,-99,-99,155,123.4,128.4,124.2,-99,298.8,157,263.3,172.4,230,255.2,146.6,280.5,188.2,144.3,131.7,123.5,144.2,222.7,174.3,203.1,307.3,187.7,335.6
198104,81.8,164.3,82.4,-99,-99,-99,-99,-99,102.3,50.6,-99,181,-99,-99,-99,-99,-99,136.7,76.4,57.7,76.6,-99,404.9,281.6,187.9,256.1,255.5,422.2,428.2,202.2,171.3,43.5,171.6,141.8,160,366,350.3,56.4,278.7,222.7,119.6
198105,24.1,32.7,0,-99,-99,-99,-99,-99,4.7,30.8,-99,8,-99,-99,-99,-99,-99,0,0.8,1.8,0.4,-99,422.9,239.1,56.3,95.7,95.7,204.7,105.3,88.8,191,4.3,217.6,6.5,116.7,129.1,101.4,44.5,196.3,130.9,245.9
198106,0,-99,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,4.4,0,0,-99,39,29,0,14.9,23.5,26.5,101.3,22.5,18.7,0,18.4,0,29.5,54.5,35.9,29.7,33.3,16.7,43.3
198107,0,-99,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,40.5,8.5,0,19.7,0,20.8,31.5,5.5,2.8,0,14.3,0,2.7,0,10.8,2.2,0,12.3,36.8
198108,0,-99,0,-99,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,127.5,15.9,0,7.5,9,168.2,60.9,35.8,56.1,0,6.6,0,51.3,3,2.9,22.7,15.4,-99,83.7
198109,0,-99,0,2.3,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,67,23,0,8.6,31.5,113.4,47.3,6,23,0.2,12,0,17.4,2,37.3,15.5,3.5,10.6,67.4
198110,0,-99,0,4.9,-99,-99,-99,-99,4.9,0,-99,71,-99,-99,-99,-99,-99,0,0,0,3.9,-99,225.3,76.6,44.2,21.2,32,202.8,89.2,47.4,75.1,0,26.7,0,88.4,47.7,3,16.1,51.3,37.5,174.8
198111,49.3,-99,48.5,62.4,-99,-99,-99,-99,68.4,37.7,-99,112,-99,-99,-99,-99,-99,6.5,0,12.8,9.5,-99,76,28.4,56.3,25.5,5.5,146.1,45.9,1,54.4,3.2,49.1,24.3,59.6,15.1,48.5,21.4,4.1,51.3,24.8
198112,86.6,-99,220.1,147.5,-99,-99,-99,-99,66.8,105.1,-99,174.5,-99,-99,-99,-99,-99,64.2,87.4,53.9,161.6,-99,528.4,164.4,36,112.6,402.7,579.1,249,52.1,219.2,81.3,361.4,62.7,157.2,208.2,341.7,327.9,529.8,95.8,167.5
198201,157.3,133.5,121.7,51.7,-99,-99,-99,-99,97.5,178.2,-99,209,-99,-99,-99,-99,-99,28.7,112.4,107.1,56.6,-99,71,29,24,15.1,55.5,91.8,13.5,33.1,13.8,109,96.5,89.6,6.3,102.7,69,58.7,86.5,40,4.9
198202,51.7,108,158.2,124.6,-99,-99,-99,-99,68.7,90.1,-99,169.1,-99,-99,-99,-99,-99,86.6,50.7,71.8,75,-99,41,32.9,0,20.3,115.5,37.5,39,0,1.7,55.4,73.5,119.7,3.6,42.5,53,56.5,138.5,4.4,0.2
198203,123.5,69,59,38.7,-99,-99,-99,-99,66.5,212.8,-99,-99,-99,-99,-99,-99,-99,86.9,52.1,69.2,103.9,-99,128,123.1,40.5,83.5,127,315.6,189.3,50.5,58.9,34.2,86,101.8,123.6,243.6,135.5,207.1,433.5,66.1,133
198204,87.8,96.6,82,112.5,-99,-99,-99,-99,86.2,37.3,-99,80.9,-99,-99,-99,-99,-99,69.4,57.4,95.4,46.6,-99,420.3,257.7,168.2,139.9,177.5,-99,274.5,74.5,198.9,103.1,262.3,84.4,191.5,308.6,201.4,176.5,237.6,97.2,232.4
198205,0,11.9,0,11.1,-99,-99,-99,-99,19.8,4,-99,13.4,-99,-99,-99,-99,-99,7.8,11.2,0,6.3,-99,402.9,72.4,120.8,67.8,165,198.1,106.6,17.7,237.4,0,91.5,14.4,148.7,152.6,79,109.7,244.1,68.4,433.7
198206,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,162.4,55,48,34.8,18,51.8,44.9,0,138.9,0,12.7,0.5,91.9,65.1,23.6,20.1,20.5,39.3,157.7
198207,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,238.5,61.8,48,64.3,59,237.1,74,0,50.3,0,15,0,20.5,44.9,30.1,6,38.9,61.1,141.7
198208,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,100.8,10.5,0,0,21,72.8,20.7,5.2,20,0,14.4,0,15.6,5.6,11.5,7.6,10.3,11.5,62.1
198209,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,183.5,27.8,12,15.1,33.5,198.6,85.9,-99,18.5,0,45,0,44.3,65,34.2,15.3,13.1,12.9,138.9
198210,6.5,3.1,0,36.6,-99,-99,-99,-99,14.4,2.7,-99,31,-99,-99,-99,-99,-99,38.8,17.8,3.3,12.4,-99,-99,198.5,225,76.6,317.5,618.2,385.6,-99,181.2,6.5,276.4,0.6,291,239.8,187.8,68.2,336.4,105,303.3
198211,81.9,108.4,48.5,108.7,-99,-99,-99,-99,122.7,75.1,-99,144,-99,-99,-99,-99,-99,82,178.3,96.1,90.3,-99,378.8,272.5,140.2,132.7,150,233.1,129.2,-99,264.1,66.2,195.1,64.7,196.4,225.5,203.2,80.8,215.9,110,207
198212,298.4,182.2,190.7,169.7,-99,-99,-99,-99,101.6,161.4,-99,288.6,-99,-99,-99,-99,-99,158.4,164.1,200.7,182.6,-99,348.9,198.8,144,256.5,120,507.8,471.6,68.1,238.3,216.5,433.7,256.6,147.2,352.9,236.9,176.2,585.5,262.4,19.1
198301,144.6,126.6,145.4,147.2,-99,-99,-99,-99,87.4,254,-99,261.8,-99,-99,-99,-99,-99,42.2,96.4,95,39.4,-99,187,89.3,59.2,60.3,72.2,162.6,-99,84,37.2,113.5,116.4,102,11.7,131.5,38.3,116.1,486.2,14.4,19.8
198302,90.1,110.5,40.5,70.6,-99,-99,-99,-99,45.2,58.1,-99,121,-99,-99,-99,-99,-99,46.8,78.2,109.5,118.9,-99,50.5,34,0,54,60.5,164.7,-99,10.5,61.9,68,97.4,107.6,13.9,85.1,155.5,101.3,255,57,7.3
